"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","LEAVE","ID"
"one",23859,70,0,519105,154,5,8,"unsat","little","actively_looking_into_it","LEAVE",8183
"zero",72466,67,16,271182,262,5,5,"unsat","little","actively_looking_into_it","LEAVE",12501
"zero",30883,60,0,647281,211,3,8,"unsat","little","actively_looking_into_it","STAY",7425
"one",44512,0,22,754958,232,0,5,"unsat","little","never_thought","LEAVE",13488
"zero",70535,0,0,653421,310,0,14,"very_unsat","little","considering","STAY",11389
"zero",143987,0,56,896544,778,5,1,"very_unsat","high","actively_looking_into_it","STAY",14674
"one",96668,79,24,259329,365,5,6,"very_unsat","avg","actively_looking_into_it","LEAVE",19100
"one",50083,0,0,160335,266,5,10,"unsat","very_high","considering","STAY",18170
"one",104392,0,0,247836,778,1,8,"very_sat","little","no","LEAVE",3201
"one",37852,0,74,264893,857,0,2,"very_unsat","very_little","considering","LEAVE",12612
"zero",48619,222,17,267344,176,10,1,"sat","very_high","actively_looking_into_it","LEAVE",3266
"one",51516,74,14,661466,271,3,5,"very_sat","little","no","STAY",13155
"zero",145081,0,0,341108,583,0,9,"avg","avg","no","LEAVE",1491
"zero",156695,96,40,645799,882,4,2,"unsat","high","considering","LEAVE",13418
"one",105403,263,13,225408,201,NA,4,"avg","very_high","actively_looking_into_it","LEAVE",7774
"zero",149635,169,0,936768,579,10,14,"very_unsat","very_little","perhaps","LEAVE",16771
"one",56231,0,21,178377,345,13,6,"very_sat","little","considering","STAY",3335
"one",94657,0,10,952813,392,1,4,"very_sat","little","considering","STAY",80
"zero",50117,216,0,156554,324,14,9,"unsat","very_little","never_thought","LEAVE",18537
"zero",64138,0,34,274984,268,0,1,"unsat","little","never_thought","LEAVE",3419
"zero",102317,70,0,502376,571,3,12,"avg","high","actively_looking_into_it","STAY",10606
"one",114218,194,56,345672,720,18,2,"very_sat","very_high","actively_looking_into_it","LEAVE",10141
"zero",94911,0,6,632503,317,0,5,"very_unsat","little","no","STAY",11575
"one",33800,69,16,946705,206,5,9,"very_unsat","high","perhaps","STAY",7954
"zero",145970,197,51,316606,752,12,1,"very_unsat","very_high","actively_looking_into_it","LEAVE",5848
"zero",52336,0,0,423367,259,1,13,"very_sat","high","actively_looking_into_it","LEAVE",13884
"one",50910,204,72,602885,224,18,2,"very_unsat","little","actively_looking_into_it","STAY",3185
"one",137286,129,5,512732,776,21,6,"very_unsat","little","never_thought","LEAVE",13678
"zero",27385,185,0,885827,199,13,14,"very_unsat","very_little","no","LEAVE",3743
"one",108339,0,9,171941,756,1,5,"unsat","very_little","considering","LEAVE",7010
"zero",112941,194,54,916574,551,20,2,"very_unsat","very_high","actively_looking_into_it","LEAVE",6161
"zero",26060,0,38,807167,206,0,1,"unsat","very_high","considering","STAY",7768
"zero",44478,0,0,174062,704,1,15,"very_unsat","very_high","considering","LEAVE",150
"zero",61017,0,21,875608,250,0,5,"very_sat","high","no","STAY",1871
"zero",100590,0,0,221464,872,0,12,"unsat","little","actively_looking_into_it","STAY",11613
"zero",153754,68,0,258551,597,5,11,"unsat","very_little","considering","STAY",16722
"zero",45216,0,82,763090,174,0,5,"unsat","little","never_thought","STAY",10893
