"id","college","income","overage","leftover","house","handset_price","over_15mins_calls_per_month","average_call_duration","reported_satisfaction","reported_usage_level","considering_change_of_plan","leave"
1771,"one",56718,44,23,641392,313,3,8,"very_unsat","avg","considering","STAY"
434,"zero",93703,203,0,808193,219,11,13,"very_sat","very_high","no","STAY"
1160,"zero",NA,50,15,661086,686,3,6,"unsat","little","considering","LEAVE"
5113,"one",28061,166,29,942957,202,5,1,"unsat","little","actively_looking_into_it","STAY"
6626,"one",100818,62,NA,164741,587,3,15,"unsat","very_little","actively_looking_into_it","LEAVE"
251,"one",149900,71,NA,658704,839,NA,1,"sat","little","no","LEAVE"
4420,"zero",127361,244,57,166851,898,1,NA,"sat","very_high","considering","STAY"
6432,"one",70534,53,8,174415,322,4,2,NA,"avg","considering","LEAVE"
130,"zero",26605,225,39,545912,213,14,1,"unsat","little","no","LEAVE"
3672,NA,NA,171,0,907536,234,27,5,"avg","very_little","considering","STAY"
861,"one",150197,157,24,178716,557,18,6,"sat","little","considering","LEAVE"
10009,"zero",93351,211,0,568730,314,1,8,"very_unsat","very_little","never_thought","LEAVE"
7603,"zero",148258,189,11,NA,880,NA,5,"very_sat","little","actively_looking_into_it","STAY"
9540,"zero",72048,224,7,429682,195,17,4,NA,"little","considering","LEAVE"
523,"zero",30761,215,10,798143,214,11,8,"very_unsat","little","actively_looking_into_it","STAY"
586,"one",59617,270,12,NA,270,10,6,"very_sat","little","no","LEAVE"
3894,"one",152677,41,0,285716,555,5,2,"unsat","very_little","no","STAY"
5031,"zero",133719,36,86,765840,575,5,2,"unsat","little","considering","LEAVE"
7739,"one",NA,190,19,963506,515,NA,4,NA,"very_high",NA,"LEAVE"
2638,"zero",125892,186,18,958926,-876,21,6,"avg","high","actively_looking_into_it","LEAVE"
3542,"zero",137331,204,31,177521,536,13,2,"unsat","very_high",NA,"LEAVE"
4096,"one",41487,207,8,382003,165,20,5,"very_sat","little","actively_looking_into_it","LEAVE"
4886,"one",157911,116,20,566307,598,13,5,"avg","little","actively_looking_into_it","LEAVE"
3556,"one",129276,186,40,463452,662,NA,6,"very_unsat","little","no","STAY"
9342,NA,65304,250,65,NA,336,12,1,"very_sat","little","actively_looking_into_it","LEAVE"
757,"zero",NA,219,39,237307,245,14,1,"unsat","little","actively_looking_into_it","LEAVE"
3006,"one",33015,239,0,151730,205,15,14,"very_unsat","very_high","perhaps","LEAVE"
3226,"zero",NA,55,67,163592,297,3,11,"very_sat","little","considering","LEAVE"
10546,"one",NA,200,0,160399,316,19,12,"very_sat","very_high","no","LEAVE"
141,"one",40018,79,NA,588761,837,5,10,NA,"high","considering","LEAVE"
6676,"zero",91690,59,0,173706,291,NA,14,"avg","avg","actively_looking_into_it","STAY"
3999,NA,62172,253,29,653255,334,0,2,"very_unsat","very_high","considering","STAY"
2319,"zero",150725,163,22,251338,550,NA,4,"unsat","very_high","considering","STAY"
7528,"one",NA,42,56,389008,532,3,2,"very_unsat","very_little","actively_looking_into_it","LEAVE"
6508,NA,74976,79,0,442932,273,3,13,"unsat","very_high","considering","STAY"
2839,"zero",108623,51,0,770171,657,0,15,"unsat","very_little",NA,"LEAVE"
9667,"zero",110387,175,89,204919,813,26,2,"very_unsat",NA,"no","LEAVE"
