city,bed,bath,garage,sqft,pool,spa,price
Long Beach,0,1,NA,513,NA,NA,119000
Long Beach,0,1,NA,550,NA,NA,153000
Long Beach,0,1,NA,550,NA,NA,205000
Long Beach,0,1,1,1030,NA,NA,300000
Long Beach,0,1,1,1526,NA,NA,375000
Long Beach,1,1,NA,552,NA,NA,159900
Long Beach,1,1,NA,558,NA,NA,135000
Long Beach,1,1,NA,596,NA,NA,105000
Long Beach,1,1,NA,744,NA,NA,167000
Long Beach,1,1,NA,750,NA,NA,134900
Long Beach,1,1,NA,750,NA,NA,145000
Long Beach,1,1,NA,791,NA,NA,219900
Long Beach,1,1,NA,798,NA,NA,195000
Long Beach,1,1,1,671,NA,NA,120000
Long Beach,1,1,1,796,NA,NA,179900
Long Beach,1,1,1,935,NA,NA,239000
Long Beach,1,1,1,1006,NA,NA,360000
Long Beach,1,1,1,1431,NA,NA,500000
Long Beach,1,1,2,926,NA,NA,339000
Long Beach,1,1,2,1209,NA,NA,580000
Long Beach,1,1,2,1620,NA,NA,419900
Long Beach,1,1,2,1924,NA,NA,394900
Long Beach,1,1,2,1970,NA,NA,619000
Long Beach,1,2,1,1310,NA,NA,359900
Long Beach,1,2,1,1450,NA,NA,325000
Long Beach,1,2,1,1450,NA,NA,329900
Long Beach,1,2,2,1077,NA,NA,325000
Long Beach,2,1,NA,1133,NA,NA,325000
Long Beach,2,1,NA,2374,NA,NA,799000
Long Beach,2,1,2,1620,NA,NA,418000
Long Beach,2,1,2,2019,NA,NA,420000
Long Beach,2,2,1,868,NA,NA,240000
Long Beach,2,2,1,1050,NA,NA,318800
Long Beach,2,2,1,1241,NA,NA,299500
Long Beach,4,4,NA,3636,NA,NA,349900
Long Beach,6,3,NA,2554,NA,NA,379900
Long Beach,0,1,NA,462,NA,NA,138900
Long Beach,0,1,NA,475,NA,NA,120000
Long Beach,0,1,NA,527,NA,NA,179000
Long Beach,0,1,NA,702,NA,NA,236900
Long Beach,0,1,2,650,NA,NA,217900
Long Beach,1,1,NA,403,NA,NA,139950
Long Beach,1,1,NA,426,NA,NA,135000
Long Beach,1,1,NA,560,NA,NA,135000
Long Beach,1,1,NA,561,NA,NA,273500
Long Beach,1,1,NA,590,NA,NA,215000
Long Beach,1,1,NA,590,NA,NA,259900
Long Beach,1,1,NA,597,NA,NA,130000
Long Beach,1,1,NA,599,NA,NA,350000
Long Beach,1,1,NA,600,NA,NA,183900
Long Beach,1,1,NA,617,NA,NA,104990
Long Beach,1,1,NA,628,NA,NA,119000
Long Beach,1,1,NA,628,NA,NA,285000
Long Beach,1,1,NA,631,NA,NA,215000
Long Beach,1,1,NA,633,NA,NA,175000
Long Beach,1,1,NA,635,NA,NA,243000
